date,nav,scheme_name,scheme_code
27-11-2017,3542.15000,HDFC Money Market Fund - Growth Option - Direct Plan,119092
26-11-2017,3541.55610,HDFC Money Market Fund - Growth Option - Direct Plan,119092
24-11-2017,3540.33020,HDFC Money Market Fund - Growth Option - Direct Plan,119092
23-11-2017,3539.72270,HDFC Money Market Fund - Growth Option - Direct Plan,119092
22-11-2017,3539.12010,HDFC Money Market Fund - Growth Option - Direct Plan,119092
21-11-2017,3538.51660,HDFC Money Market Fund - Growth Option - Direct Plan,119092
20-11-2017,3537.91610,HDFC Money Market Fund - Growth Option - Direct Plan,119092
19-11-2017,3537.29440,HDFC Money Market Fund - Growth Option - Direct Plan,119092
17-11-2017,3536.09140,HDFC Money Market Fund - Growth Option - Direct Plan,119092
16-11-2017,3535.49280,HDFC Money Market Fund - Growth Option - Direct Plan,119092
15-11-2017,3534.88270,HDFC Money Market Fund - Growth Option - Direct Plan,119092
14-11-2017,3534.26810,HDFC Money Market Fund - Growth Option - Direct Plan,119092
13-11-2017,3533.66970,HDFC Money Market Fund - Growth Option - Direct Plan,119092
12-11-2017,3533.06830,HDFC Money Market Fund - Growth Option - Direct Plan,119092
10-11-2017,3531.85020,HDFC Money Market Fund - Growth Option - Direct Plan,119092
09-11-2017,3531.24510,HDFC Money Market Fund - Growth Option - Direct Plan,119092
08-11-2017,3530.63870,HDFC Money Market Fund - Growth Option - Direct Plan,119092
07-11-2017,3530.03420,HDFC Money Market Fund - Growth Option - Direct Plan,119092
06-11-2017,3529.40680,HDFC Money Market Fund - Growth Option - Direct Plan,119092
05-11-2017,3528.79800,HDFC Money Market Fund - Growth Option - Direct Plan,119092
03-11-2017,3527.60100,HDFC Money Market Fund - Growth Option - Direct Plan,119092
02-11-2017,3527.01050,HDFC Money Market Fund - Growth Option - Direct Plan,119092
01-11-2017,3526.40800,HDFC Money Market Fund - Growth Option - Direct Plan,119092
31-10-2017,3525.81160,HDFC Money Market Fund - Growth Option - Direct Plan,119092
30-10-2017,3525.21910,HDFC Money Market Fund - Growth Option - Direct Plan,119092
29-10-2017,3524.62270,HDFC Money Market Fund - Growth Option - Direct Plan,119092
27-10-2017,3523.41100,HDFC Money Market Fund - Growth Option - Direct Plan,119092
26-10-2017,3522.80180,HDFC Money Market Fund - Growth Option - Direct Plan,119092
25-10-2017,3522.22100,HDFC Money Market Fund - Growth Option - Direct Plan,119092
24-10-2017,3521.59480,HDFC Money Market Fund - Growth Option - Direct Plan,119092
23-10-2017,3521.01100,HDFC Money Market Fund - Growth Option - Direct Plan,119092
22-10-2017,3520.39890,HDFC Money Market Fund - Growth Option - Direct Plan,119092
18-10-2017,3518.00430,HDFC Money Market Fund - Growth Option - Direct Plan,119092
17-10-2017,3517.40360,HDFC Money Market Fund - Growth Option - Direct Plan,119092
16-10-2017,3516.81440,HDFC Money Market Fund - Growth Option - Direct Plan,119092
